"product_id","product_title","product_subtitle","product_px"
"3021951","UA Charged Bandit Trail","Men’s Trail Running Shoes","$80.00"
"1342657","UA Undeniable Duffel 4.0 Medium Duffle","Duffle Bag","$45.00"
"1344226","UA Grid","Men’s  Graphic T-Shirt","$25.00"
"1328698","UA Vanish Woven","Men’s  Pants & Sweatpants","$65.00"
"1302294","UA Rival Fleece Fitted Graphic","Men’s  Hoodie","$44.99"
"1343243","ColdGear® Base 3.0 Crew","Men’s  Outdoor Long Sleeve Shirt","$70.00"
"1343246","ColdGear® Base 3.0","Men’s  Outdoor Leggings","$70.00"
"1318546","UA Armour® Liner 2.0","Men’s  Glove","$25.00"
"1300477","ColdGear® Infrared Scent Control Balaclava","Men’s Hood","$34.99"
"1329298","UA Sportstyle Cotton Graphic Joggers","Men’s  Pants & Sweatpants","$45.00"
"1346679","UA Performance Apparel","Men’s  Graphic T-Shirt","$25.00"
"1329289","UA Sportstyle Terry Joggers","Men’s  Pants & Sweatpants","$50.00"
"1345248","UA MK-1 Emboss","Men’s  Short Sleeve Shirt","$35.00"
"1347417","Project Rock Strength Flat Brim Cap","Men’s  Headwear","$35.00"
"1309551","UA Showdown Vented","Men’s  Golf Shorts","$70.00"
"1304694","UA F6","Men’s  Football Glove","$35.00"
"1345596","UA Performance Originators Fleece","Men’s  Pants & Sweatpants","$70.00"
"1326571","UA Launch SW 5''","Men’s  Running Shorts","$35.00"
"3022050","UA HOVR™ Havoc 2","Men’s Basketball Shoes","$120.00"
"GC00001","UA Gift Card",NA,"$25.00 - $500.00"
"1290743","UA Tide Chaser","Men’s  Fishing Short Sleeve Shirt","$49.99"
"1329288","UA Sportstyle Terry","Men’s  Shorts","$40.00"
"1312297","UA MK-1 Twist","Men’s  Shorts","$35.00"
"1344645","UA Hunt Logo","Men’s  Hunting Long Sleeve Shirt","$30.00"
"1345315","ColdGear® Infrared ½ Zip","Men’s Long Sleeve","$70.00"
"3021229","UA Charged Intake 3","Men’s Running Shoes","$100.00"
"1332491","ColdGear® Fitted Crew","Men’s  Long Sleeve Shirt","$50.00"
"1329745","UA Rival Fleece Logo","Men’s  Hoodie","$45.00 - $45.99"
"1325450","UA Sport Wireless — Project Rock Edition","Headphones","$249.00"
"1342921","UA Speedpocket Linerless 9''","Men’s  Running Shorts","$45.00"
"1347213","UA Sideline 32 oz. Squeezable","Water Bottle","$8.99"
"1328704","UA Tech™ 2.0","Men’s  Tank Top","$25.00"
"1342651","UA Hustle 4.0 Backpack","Backpack","$55.00"
"1306538","UA Braided Belt 2.0","Men’s  Golf Belt","$40.00"
"3021955","UA Charged Toccoa 2","Men’s Trail Running Shoes","$70.00"
"1342082","UA Performance Textured Stripe","Men’s  Golf Polo Shirt","$60.00"
"1345663","Project Rock 60 Bag","Bag","$80.00"
"1316018","UA Porter 3-in-1","Men’s  Jackets & Vests","$200.00"
"3000011","UA Micro G® Pursuit","Men’s  Running Shoes","$70.00"
"1261299","UA Sideline 64 oz. Water Bottle","Water Bottle","$24.99"
"1309336","UA Overlook","Men’s  Outdoor Jackets & Vests","$90.00"
"1327428","Charged Cotton® Crew Undershirt – 2-Pack","Men’s  Undershirt","$35.00"
"1329808","Armour Fleece® ½ Zip","Men’s  Hoodie","$65.00"
"1325610","UA Bag Golf Towel","Towel","$22.00"
"1329521","UA Recover Sleepwear","Men’s  Shorts","$55.00"
"1345304","UA MK-1 Warm-Up Bomber","Men’s  Jackets & Vests","$55.00"
"1323455","Charged Cotton® Scramble Stripe","Men’s  Golf Polo Shirt","$50.00"
"3021036","UA Valsetz RTS 1.5 Side Zip","Men’s Tactical Boots","$130.00"
"1343247","ColdGear® Base 2.0","Men’s  Outdoor Leggings","$60.00"
"1341970","UA Clean Up","Men’s  Baseball Glove","$25.00"
"1327656","UA Vanish Hybrid","Men’s  Pants & Sweatpants","$75.00"
"1342655","UA Undeniable Duffel 4.0 XS Duffle","Duffle Bag","$35.00"
"1306483","UA Tech™ Mesh 6"" Boxerjock® - 2-Pack","Men’s  Underwear","$45.00"
"1311427","UA Freedom Blitzing Cap","Men’s  Tactical Headwear","$25.00"
"1343913","UA Challenger III Training","Men’s  Soccer Pants & Sweatpants","$50.00"
"1287325","UA Locker III","Men’s  Slides","$19.99"
"1343470","Project Rock Peak 40 oz.","Water Bottle","$75.00"
"1321239","UA Storm Fleece","Men’s  Glove","$40.00"
"1329291","UA Sportstyle Terry","Men’s  Hoodie","$55.00"
"1283116","UA ColdGear® Infrared Balaclava","Men’s Hood","$29.99"
"1218006","6"" UA Performance Wristband 2-Pack","Equipment","$8.99"
"1303206","HeatGear® Tech Crew - 3-Pack","Adult Sock","$17.00"
"1305792","UA Raid 2.0 Team","Men’s  Shorts","$30.00"
"1317393","UA Perimeter","Men’s  Basketball Shorts","$35.00"
"1345819","Project Rock Terry","Men’s  Tank Top","$55.00"
"5033193","UA Performance Cotton Collegiate","Men’s  Football Short Sleeve Shirt","$32.00"
"1328630","UA ArmourVent™ Core 2.0","Men’s  Headwear","$25.00"
"1343545","UA Freedom Eagle","Men’s  Tactical Graphic T-Shirt","$25.00"
"1343008","UA Baseline Fleece Joggers","Men’s  Basketball Pants & Sweatpants","$65.00"
"1268873","UA Kilchis","Men’s  Fishing","$69.99"
"1309651","UA Woven Graphic","Men’s  Shorts","$30.00"
"1320204","UA Challenger II Training","Men’s  Soccer Pants & Sweatpants","$50.00"
"1326586","UA Qualifier HexDelta Singlet","Men’s  Running Tank Top","$40.00"
"1304649","UA Fish Hunter Cargo","Men’s  Fishing Shorts","$65.00"
"1353361","Adult UA Run Cushion Crew Socks","Running Sock","$17.00"
"1326388","Project Rock Iron Paradise","Men’s  Graphic T-Shirt","$35.00"
"1344646","UA Camo Fill","Men’s  Hunting Long Sleeve Shirt","$30.00"
"1342960","UA Run Warped","Men’s  Running Graphic T-Shirt","$30.00"
"3020219","UA Micro G® Pursuit — 4E Wide","Men’s  Running Shoes","$70.00"
"1343186","UA Reversible Golf Beanie","Men’s  Golf Headwear","$25.00"
"1292832","UA All Season Wool Boot","Adult Sock","$20.00"
"1344504","UA Freedom Tech™","Men’s  Tactical Short Sleeve Shirt","$25.00"
"3021227","UA HOVR™ Velociti 2","Men’s Running Shoes","$120.00"
"3021289","UA TriBase™ Reign","Men’s Training Shoes","$120.00"
